franchise_id,season_year,home_games,home_wins,home_attendance_total,avg_home_attendance,away_games,away_wins,away_attendance_total,avg_away_attendance,total_games,total_wins,Pct,total_attendance,attendance_avg
23,2008,41,22,609675,14870.121951219513,41,18,706506,17231.853658536584,82,40,0.4878048780487805,1316181,16050.987804878048
23,2009,41,24,647898,15802.390243902439,41,17,710831,17337.341463414636,82,41,0.5,1358729,16569.865853658535
23,2010,41,12,583219,14224.853658536585,41,15,692450,16889.024390243903,82,27,0.32926829268292684,1275669,15556.939024390244
23,2011,41,26,604823,14751.780487804877,41,15,703394,17155.951219512193,82,41,0.5,1308217,15953.865853658537
23,2012,33,19,577597,17502.939393939392,33,16,553235,16764.696969696968,66,35,0.5303030303030303,1130832,17133.81818181818
23,2013,41,23,685412,16717.365853658535,41,11,710251,17323.19512195122,82,34,0.4146341463414634,1395663,17020.280487804877
23,2014,41,10,568632,13869.073170731708,41,9,715093,17441.29268292683,82,19,0.23170731707317074,1283725,15655.182926829268
23,2015,41,12,571572,13940.780487804877,41,6,724272,17665.170731707316,82,18,0.21951219512195122,1295844,15802.975609756097
23,2016,41,7,610121,14881.0,41,3,717170,17491.951219512193,82,10,0.12195121951219512,1327291,16186.475609756097
23,2017,41,17,710557,17330.658536585364,41,11,705569,17209.0,82,28,0.34146341463414637,1416126,17269.829268292684
23,2018,41,30,833503,20329.341463414636,41,22,737197,17980.414634146342,82,52,0.6341463414634146,1570700,19154.878048780487
23,2019,41,31,838342,20447.365853658535,41,20,733699,17895.09756097561,82,51,0.6219512195121951,1572041,19171.231707317074
23,2020,35,31,639491,20628.74193548387,38,12,603996,17764.58823529412,73,43,0.589041095890411,1243487,17034.068493150684
23,2021,36,29,68583,4034.294117647059,36,20,39344,3278.6666666666665,72,49,0.6805555555555556,107927,1498.986111111111
23,2022,41,24,846867,20655.29268292683,41,27,680178,16589.70731707317,82,51,0.6219512195121951,1527045,18622.5
23,2023,41,29,839261,20469.780487804877,41,25,734346,17910.878048780487,82,54,0.6585365853658537,1573607,19190.329268292684
23,2024,39,25,781375,20035.25641025641,39,20,718254,18416.76923076923,78,45,0.5769230769230769,1499629,19226.01282051282
24,2005,41,31,726066,17708.926829268294,41,31,720410,17570.975609756097,82,62,0.7560975609756098,1446476,17639.951219512193
24,2006,41,31,730179,17809.243902439026,41,23,725482,17694.682926829268,82,54,0.6585365853658537,1455661,17751.963414634145
24,2007,41,33,755302,18422.0,41,28,760182,18541.024390243903,82,61,0.7439024390243902,1515484,18481.51219512195
24,2008,41,30,755302,18422.0,41,25,739907,18046.51219512195,82,55,0.6707317073170732,1495209,18234.256097560974
24,2009,41,28,755302,18422.0,41,18,743012,18122.243902439026,82,46,0.5609756097560976,1498314,18272.121951219513
24,2010,41,32,723582,17648.341463414636,41,22,712398,17375.560975609755,82,54,0.6585365853658537,1435980,17511.951219512193
24,2011,41,23,720249,17567.048780487807,41,17,715961,17462.463414634145,82,40,0.4878048780487805,1436210,17514.756097560974
24,2012,33,19,514718,15597.515151515152,33,14,587617,17806.575757575756,66,33,0.5,1102335,16702.045454545456
24,2013,41,17,632913,15436.90243902439,41,8,703236,17152.09756097561,82,25,0.3048780487804878,1336149,16294.5
24,2014,41,26,650739,15871.682926829268,41,22,707251,17250.024390243903,82,48,0.5853658536585366,1357990,16560.853658536584
24,2015,41,22,693862,16923.463414634145,41,17,721033,17586.170731707316,82,39,0.47560975609756095,1414895,17254.817073170732
24,2016,41,14,701405,17107.439024390245,41,9,709412,17302.731707317074,82,23,0.2804878048780488,1410817,17205.085365853658
24,2017,41,15,708639,17283.878048780487,41,9,722367,17618.70731707317,82,24,0.2926829268292683,1431006,17451.29268292683
24,2018,41,10,690576,16843.317073170732,41,11,722045,17610.853658536584,82,21,0.25609756097560976,1412621,17227.085365853658
24,2019,41,12,627023,15293.243902439024,41,7,737301,17982.951219512193,82,19,0.23170731707317074,1364324,16638.09756097561
24,2020,39,17,551633,15760.942857142858,34,17,529818,17660.6,73,34,0.4657534246575342,1081451,14814.397260273972
24,2021,36,27,104027,3852.8518518518517,36,24,53872,3168.9411764705883,72,51,0.7083333333333334,157899,2193.0416666666665
24,2022,41,32,679252,16567.121951219513,41,32,696126,17403.15,82,64,0.7804878048780488,1375378,16772.90243902439
24,2023,41,28,699911,17071.0,41,17,750057,18294.073170731706,82,45,0.5487804878048781,1449968,17682.536585365855
24,2024,39,24,665769,17071.0,38,22,707209,18610.763157894737,77,46,0.5974025974025974,1372978,17830.883116883117
25,2005,41,17,680374,16594.48780487805,41,9,683013,16658.853658536584,82,26,0.3170731707317073,1363387,16626.670731707316
25,2006,41,15,617019,15049.243902439024,41,6,702942,17144.926829268294,82,21,0.25609756097560976,1319961,16097.085365853658
25,2007,41,18,670778,16360.439024390244,41,14,719878,17558.0,82,32,0.3902439024390244,1390656,16959.219512195123
25,2008,41,28,801566,19550.39024390244,41,13,684703,16700.073170731706,82,41,0.5,1486269,18125.231707317074
25,2009,41,34,841499,20524.365853658535,41,20,696795,16995.0,82,54,0.6585365853658537,1538294,18759.682926829268
25,2010,41,26,840371,20496.853658536584,41,24,678389,16546.073170731706,82,50,0.6097560975609756,1518760,18521.463414634145
25,2011,41,30,840924,20510.341463414636,41,18,669689,16333.878048780487,82,48,0.5853658536585366,1510613,18422.10975609756
25,2012,33,20,676384,20496.484848484848,33,8,566427,17164.454545454544,66,28,0.42424242424242425,1242811,18830.469696969696
25,2013,41,22,813012,19829.560975609755,41,11,685844,16727.90243902439,82,33,0.4024390243902439,1498856,18278.731707317074
25,2014,41,31,809612,19746.634146341465,41,23,709822,17312.731707317074,82,54,0.6585365853658537,1519434,18529.682926829268
25,2015,41,32,801377,19545.780487804877,41,19,723952,17657.365853658535,82,51,0.6219512195121951,1525329,18601.573170731706
25,2016,41,28,794085,19367.926829268294,41,16,725852,17703.70731707317,82,44,0.5365853658536586,1519937,18535.817073170732
25,2017,41,25,792029,19317.780487804877,41,16,719788,17555.80487804878,82,41,0.5,1511817,18436.79268292683
25,2018,41,28,795750,19408.536585365855,41,21,719823,17556.658536585364,82,49,0.5975609756097561,1515573,18482.59756097561
25,2019,41,32,799345,19496.219512195123,41,21,735976,17950.634146341465,82,53,0.6463414634146342,1535321,18723.426829268294
25,2020,36,21,628303,19634.46875,38,14,610016,17941.647058823528,74,35,0.47297297297297297,1238319,16734.04054054054
25,2021,36,20,7756,1939.0,36,22,58149,3634.3125,72,42,0.5833333333333334,65905,915.3472222222222
25,2022,41,17,705608,17209.951219512193,41,10,662399,16559.975,82,27,0.32926829268292684,1368007,16683.01219512195
25,2023,41,17,767374,18716.439024390245,41,16,711461,17786.525,82,33,0.4024390243902439,1478835,18034.573170731706
25,2024,39,10,714233,18313.666666666668,39,10,702199,18005.102564102563,78,20,0.2564102564102564,1416432,18159.384615384617
26,2005,41,30,709997,17317.0,41,20,725815,17702.80487804878,82,50,0.6097560975609756,1435812,17509.90243902439
