player_id,Player,Rank,Year Drafted,Age,Team,MP RS,OWS RS,DWS RS,WS RS,WS/48 RS,season_year,MP PO,OWS PO,DWS PO,WS PO,WS/48 PO,Impact,Year Started,franchise_id,teams_played_for,salary,allocated_salary,MP_Total,MP_RS_Cost,MP_TOT_Cost,WS_RS_Cost,WS_TOT_Cost,Impact_Cost,Rookie Contract Year
adamsja01,Jaylen Adams,0,0,22,Atlanta Hawks,428,-0.1,0.2,0.1,0.011,2019,0.0,0.0,0.0,0.0,0.0,0.1,2019,1,1,236854.0,236854.0,428.0,553.3971962616822,553.3971962616822,2368540.0,2368540.0,2368540.0,2020
adamsjo01,Jordan Adams,22,2014,20,Memphis Grizzlies,248,0.0,0.4,0.4,0.073,2015,10.0,0.1,0.0,0.1,0.327,0.8,2015,15,1,1344120.0,1344120.0,258.0,5419.8387096774195,5209.767441860465,3360300.0,2688240.0,1680150.0,2
adamsst01,Steven Adams,12,2013,20,Oklahoma City Thunder,1197,0.9,1.9,2.9,0.114,2014,331.0,0.3,0.4,0.7,0.099,5.699999999999999,2014,21,1,2090880.0,2090880.0,1528.0,1746.766917293233,1368.3769633507854,720993.103448276,580800.0,366821.052631579,2
adamsst01,Steven Adams,12,2013,21,Oklahoma City Thunder,1771,1.9,2.2,4.1,0.111,2015,0.0,0.0,0.0,0.0,0.0,4.1,2014,21,1,2184960.0,2184960.0,1771.0,1233.743647656691,1233.743647656691,532917.0731707318,532917.0731707318,532917.0731707318,3
adamsst01,Steven Adams,12,2013,22,Oklahoma City Thunder,2014,4.2,2.3,6.5,0.155,2016,553.0,1.5,0.6,2.1,0.18,14.9,2014,21,1,2279040.0,2279040.0,2567.0,1131.5988083416087,887.8223607323724,350621.53846153844,265004.6511627907,152955.70469798657,4
adamsst01,Steven Adams,12,2013,23,Oklahoma City Thunder,2389,3.3,3.1,6.5,0.13,2017,157.0,0.3,0.1,0.4,0.116,8.1,2014,21,1,3140517.0,3140517.0,2546.0,1314.5738802846379,1233.5102120974077,483156.46153846156,455147.3913043478,387718.14814814815,5
adamsst01,Steven Adams,12,2013,24,Oklahoma City Thunder,2487,6.7,3.0,9.7,0.187,2018,200.0,0.5,0.2,0.7,0.158,12.5,2014,21,1,22471910.0,22471910.0,2687.0,9035.749899477281,8363.196873836992,2316691.7525773197,2160760.576923077,1797752.8,6
adamsst01,Steven Adams,12,2013,25,Oklahoma City Thunder,2669,5.1,4.0,9.1,0.163,2019,159.0,0.2,0.1,0.3,0.103,10.299999999999999,2014,21,1,24157304.0,24157304.0,2828.0,9051.069314349943,8542.186704384725,2654648.791208791,2569925.9574468085,2345369.3203883497,7
adamsst01,Steven Adams,12,2013,26,Oklahoma City Thunder,1680,3.8,2.7,6.5,0.185,2020,210.0,0.2,0.3,0.5,0.109,8.5,2014,21,1,25842697.0,25842697.0,1890.0,15382.557738095238,13673.384656084656,3975799.5384615385,3691813.8571428573,3040317.294117647,8
adamsst01,Steven Adams,12,2013,27,New Orleans Pelicans,1605,2.3,1.7,4.0,0.119,2021,0.0,0.0,0.0,0.0,0.0,4.0,2014,4,1,29592695.0,29592695.0,1605.0,18437.816199376946,18437.816199376946,7398173.75,7398173.75,7398173.75,9
adamsst01,Steven Adams,12,2013,28,Memphis Grizzlies,1999,3.8,3.0,6.8,0.163,2022,114.0,0.2,0.2,0.3,0.128,8.0,2014,15,1,17073171.0,17073171.0,2113.0,8540.855927963981,8080.061997160436,2510760.441176471,2404671.971830986,2134146.375,10
adamsst01,Steven Adams,12,2013,29,Memphis Grizzlies,1133,1.3,2.1,3.4,0.144,2023,0.0,0.0,0.0,0.0,0.0,3.4,2014,15,1,17926829.0,17926829.0,1133.0,15822.443954104148,15822.443954104148,5272596.764705882,5272596.764705882,5272596.764705882,11
addisra01,Rafael Addison,39,1986,27,New Jersey Nets,1175,0.8,0.7,1.5,0.063,1992,9.0,0.0,0.0,0.0,-0.134,1.5,1987,19,1,311000.0,311000.0,1184.0,264.6808510638298,262.6689189189189,207333.33333333334,207333.33333333334,207333.33333333334,7
addisra01,Rafael Addison,39,1986,28,New Jersey Nets,1164,-0.1,1.0,0.9,0.038,1993,53.0,-0.1,0.1,0.0,-0.028,0.9,1987,19,1,522000.0,522000.0,1217.0,448.45360824742266,428.923582580115,580000.0,580000.0,580000.0,8
addisra01,Rafael Addison,39,1986,30,Detroit Pistons,1776,0.9,0.6,1.5,0.04,1995,0.0,0.0,0.0,0.0,0.0,1.5,1987,9,1,250000.0,250000.0,1776.0,140.76576576576576,140.76576576576576,166666.66666666666,166666.66666666666,166666.66666666666,10
addisra01,Rafael Addison,39,1986,31,Charlotte Hornets,516,0.0,0.2,0.2,0.019,1996,0.0,0.0,0.0,0.0,0.0,0.2,1987,4,1,360000.0,360000.0,516.0,697.6744186046511,697.6744186046511,1800000.0,1800000.0,1800000.0,11
addisra01,Rafael Addison,39,1986,32,Charlotte Hornets,355,0.2,0.1,0.4,0.048,1997,0.0,0.0,0.0,0.0,0.0,0.4,1987,4,1,290000.0,290000.0,355.0,816.9014084507043,816.9014084507043,725000.0,725000.0,725000.0,12
adebaba01,Bam Adebayo,14,2017,20,Miami Heat,1368,2.3,1.9,4.2,0.148,2018,77.0,-0.1,0.0,-0.1,-0.036,3.8000000000000003,2018,16,1,2490360.0,2490360.0,1445.0,1820.438596491228,1723.4325259515572,592942.8571428572,607404.8780487804,655357.894736842,2
adebaba01,Bam Adebayo,14,2017,21,Miami Heat,1913,3.4,3.4,6.8,0.171,2019,0.0,0.0,0.0,0.0,0.0,6.8,2018,16,1,2955840.0,2955840.0,1913.0,1545.1332984840565,1545.1332984840565,434682.3529411765,434682.3529411765,434682.3529411765,3
adebaba01,Bam Adebayo,14,2017,22,Miami Heat,2417,4.6,3.9,8.5,0.168,2020,687.0,1.7,0.9,2.6,0.18,18.9,2018,16,1,3454080.0,3454080.0,3104.0,1429.0773686388084,1112.7835051546392,406362.35294117645,311178.3783783784,182755.55555555556,4
adebaba01,Bam Adebayo,14,2017,23,Miami Heat,2143,5.6,3.2,8.8,0.197,2021,136.0,-0.1,0.1,0.0,0.011,8.8,2018,16,1,5115492.0,5115492.0,2279.0,2387.070461969202,2244.6213251426066,581305.9090909091,581305.9090909091,581305.9090909091,5
adebaba01,Bam Adebayo,14,2017,24,Miami Heat,1825,3.6,3.5,7.2,0.188,2022,614.0,1.2,1.0,2.2,0.169,16.0,2018,16,1,28103550.0,28103550.0,2439.0,15399.205479452055,11522.570725707257,3903270.833333333,2989739.3617021274,1756471.875,6
adebaba01,Bam Adebayo,14,2017,25,Miami Heat,2598,3.6,3.8,7.4,0.137,2023,88.0,0.0,0.1,0.1,0.038,7.800000000000001,2018,16,1,30351780.0,30351780.0,2686.0,11682.748267898383,11299.992553983619,4101591.8918918916,4046904.0,3891253.846153846,7
adrieje01,Jeff Adrien,0,0,24,Golden State Warriors,196,0.1,0.1,0.2,0.051,2011,0.0,0.0,0.0,0.0,0.0,0.2,2011,10,1,342666.0,342666.0,196.0,1748.295918367347,1748.295918367347,1713330.0,1713330.0,1713330.0,2012
adrieje01,Jeff Adrien,0,0,25,Houston Rockets,63,0.1,0.1,0.1,0.106,2012,0.0,0.0,0.0,0.0,0.0,0.1,2011,11,1,270427.0,270427.0,63.0,4292.492063492064,4292.492063492064,2704270.0,2704270.0,2704270.0,2013
