franchise_id,season_year,home_games,home_wins,home_attendance_total,avg_home_attendance,away_games,away_wins,away_attendance_total,avg_away_attendance,total_games,total_wins,Pct,total_attendance,attendance_avg,Team_Revenue,Ticket_Price,Operating_Income,LAFR,LAFA
4,2021,36,18,89370,2882.9032258064517,36,13,51001,3000.0588235294117,72,31.0,0.4305555555555556,140371,1949.5972222222222,181.0,2.39,24.0,0.028254761161411176,0.059636097689226335
5,2011,41,36,893462,21791.756097560974,41,26,755676,18431.121951219513,82,62.0,0.7560975609756098,1649138,20111.439024390245,185.0,59.0,59.0,0.04671717171717172,0.04077815421141919
5,2012,33,26,731326,22161.39393939394,33,24,593639,17989.060606060608,66,50.0,0.7575757575757576,1324965,20075.227272727272,162.0,49.7,34.0,0.04411764705882353,0.04155339512351056
5,2013,41,24,896944,21876.682926829268,41,21,743927,18144.560975609755,82,45.0,0.5487804878048781,1640871,20010.621951219513,195.0,64.6,52.0,0.04280070237050044,0.04098342416274935
5,2014,41,27,890370,21716.341463414636,41,21,719618,17551.658536585364,82,48.0,0.5853658536585366,1609988,19634.0,201.0,69.5,65.0,0.041979949874686714,0.04031844858946109
5,2015,41,27,896525,21866.463414634145,41,23,754592,18404.682926829268,82,50.0,0.6097560975609756,1651117,20135.573170731706,228.0,71.8,68.0,0.044015444015444015,0.039651167907730565
5,2016,41,26,894659,21820.951219512193,41,16,744400,18156.09756097561,82,42.0,0.5121951219512195,1639059,19988.524390243903,232.0,73.4,46.0,0.03954994885782475,0.039480681028166945
5,2017,41,25,888882,21680.048780487807,41,16,739359,18033.146341463416,82,41.0,0.5,1628241,19856.59756097561,281.0,72.9,95.0,0.038137893593919656,0.039261660880949865
5,2018,41,17,851824,20776.19512195122,41,10,739664,18040.585365853658,82,27.0,0.32926829268292684,1591488,19408.39024390244,287.0,69.9,114.0,0.035843636817784436,0.037363194272740735
5,2019,41,9,823475,20084.756097560974,41,13,730710,17822.19512195122,82,22.0,0.2682926829268293,1554185,18953.475609756097,301.0,70.0,103.0,0.03436465349925791,0.03640371643053266
5,2020,34,14,639352,18804.470588235294,31,8,550804,17767.870967741936,65,22.0,0.3384615384615385,1190156,18310.092307692306,300.0,63.9,115.0,0.037897928246589184,0.0359530049836383
5,2021,36,15,13655,3413.75,36,16,42181,2636.3125,72,31.0,0.4305555555555556,55836,775.5,213.0,0.0,39.0,0.033250078051826414,0.009111904598258763
6,2011,41,12,824595,20112.073170731706,41,7,664203,16200.073170731708,82,19.0,0.23170731707317074,1488798,18156.073170731706,149.0,42.9,33.0,0.037626262626262626,0.03763502205126262
6,2012,33,11,525577,15926.575757575758,33,10,551860,16723.030303030304,66,21.0,0.3181818181818182,1077437,16324.80303030303,128.0,25.8,19.0,0.034858387799564274,0.02986289117141919
6,2013,41,14,663882,16192.243902439024,41,10,688014,16780.829268292684,82,24.0,0.2926829268292683,1351896,16486.536585365855,145.0,31.2,11.0,0.03182616330114135,0.030334287982320376
6,2014,41,19,710522,17329.80487804878,41,14,712910,17388.048780487807,82,33.0,0.4024390243902439,1423432,17358.926829268294,149.0,30.6,21.0,0.031119465329991644,0.032174427180476736
