Ride name,Location,Opening date,Type,Manufacturer,Height,Length,Speed,Inversions,Duration,Capacity,Cost,Drop,Max vertical angle,G-force,Height Restriction,Park number
Fire in the Hole,Silver Dollar City,1972,Steel – Enclosed,Herschend Family Entertainment,,"1,380 ft (420 m)",27 mph (43 km/h),0,3:15,1000 riders per hour,,20 ft (6.1 m),,,,10
FireChaser Express,Dollywood,"March 22, 2014",Steel – Family – Launched,Gerstlauer,78 ft (24 m),"2,427 ft (740 m)",34.5 mph (55.5 km/h),0,2:19,750 riders per hour,"$15,000,000[1]",,,,,55
Flight Deck,California's Great America,"March 20, 1993",Steel – Inverted,Bolliger & Mabillard,102 ft (31 m),"2,260 ft (690 m)",50 mph (80 km/h),3,2:26,1330 riders per hour,,91 ft (28 m),,4.5,,57
Flight Deck,Canada's Wonderland,1995[1],Steel – Inverted,Vekoma,33.31 m (109.3 ft),"689.01 m (2,260.5 ft)",79.99 km/h (49.70 mph),5,1:28,1040 riders per hour,,,,,,58
Flug der Dämonen,Heide Park Resort,"March 29, 2014",Steel – Wing Coaster,Bolliger & Mabillard,40 m (130 ft),"772 m (2,533 ft)",100 km/h (62 mph),5,0:52 minutes,1060 riders per hour,"€15,000,000 ($USD19.9 million)",,,4,,25
Flying Ace Aerial Chase,Kings Island,2001,Steel – Family – Inverted,Vekoma,48.6 ft (14.8 m),"1,122 ft (342 m)",26 mph (42 km/h),0,1:30,650 riders per hour,,,,2.2,,60
Flying Fish,Thorpe Park,1984Opened10 March 2007Reopened,Steel,Mack Rides,20 ft (6.1 m),767 ft (234 m),16.8 mph (27.0 km/h),0,,"1,100 riders per hour",£1 million Rebuild,13 ft (4.0 m),,2.1,,2
Flying Turns,Knoebels Amusement Resort,"October 5, 2013",Wood – Bobsled,Knoebels Amusement Resort,50 ft (15 m),"1,300 ft (400 m)",24 mph (39 km/h),0,,,,,,,,314
Formuła,Energylandia,25 June 2016,Steel – Launched,Vekoma,24.7 m (81 ft),"560 m (1,840 ft)",79.2 km/h (49.2 mph),3,,,,,,3.8,,317
Freedom Flyer,Fun Spot America,"June 8, 2013",Steel – Family – Inverted,Vekoma,64.3 ft (19.6 m),"1,295.9 ft (395.0 m)",34.2 mph (55.0 km/h),0,1:03,758 riders per hour,,,,2.5,,18
Full Throttle,Six Flags Magic Mountain,"June 22, 2013[1]",Steel – Launched,Premier Rides,160 ft (49 m),"2,200 ft (670 m)",70 mph (110 km/h),2,1:30,800 riders per hour,US$6 million,,,4.0,,32
Furius Baco,PortAventura Park,"June 5, 2007",Steel – Launched,Intamin,46 ft (14 m),"2,788.75 ft (850.01 m)",83.9 mph (135.0 km/h),1,55 sec.,,"€15,000,000",,,4.7,,19
Fury,Bobbejaanland,"June 24, 2019",Steel – Launched,Gerstlauer,43 m (141 ft),"600 m (2,000 ft)",106.6 km/h (66.2 mph),2,,,,41.9 m (137 ft),90°,,,311
Fury 325,Carowinds,"March 28, 2015",Steel,Bolliger & Mabillard,325 ft (99 m),"6,602 ft (2,012 m)",95 mph (153 km/h),0,,1470 riders per hour,"$30,000,000",320 ft (98 m),81°,,,59
Fēnix,Toverland,7 July 2018,Steel – Wing Coaster,Bolliger & Mabillard,131 ft (40 m),"2,667 ft (813 m)",59 mph (95 km/h),3,1:45,"1,000 riders per hour","€13,000,000",,,5,,305
Galactica,Alton Towers,16 March 2002,Steel – Flying,Bolliger & Mabillard,20 m (66 ft),"840 m (2,760 ft)",75 km/h (47 mph),2,1:40,"1,500 riders per hour",£12 million,,,3.5,,1
GateKeeper,Cedar Point,"May 11, 2013",Steel – Wing Coaster,Bolliger & Mabillard,170 ft (52 m),"4,164 ft (1,269 m)",67 mph (108 km/h),6,2:40,"1,710 riders per hour",$30 million,164 ft (50 m),,4[1],,50
Georgia Scorcher,Six Flags Over Georgia,"May 8, 1999",Steel – Stand-up,Bolliger & Mabillard,107 ft (33 m),"3,000 ft (910 m)",54 mph (87 km/h),2,1:24,1300 riders per hour,,101 ft (31 m),52°,4,,35
Ghost Chasers,Movie Park Germany,2000,Steel – Wild Mouse,Mack Rides,14 m (46 ft),"370 m (1,210 ft)",45 km/h (28 mph),0,1:50,1120 riders per hour,,,,,,310
GhostRider,Knott's Berry Farm,"December 8, 1998",Wood,Custom Coasters International,118 ft (36 m),"4,533 ft (1,382 m)",56 mph (90 km/h),0,2:40,1600 riders per hour,,108 ft (33 m),51°,3.1,,61
Ghoster Coaster,Canada's Wonderland,"May 23, 1981",Wood,Taft Broadcasting,12.5 m (41 ft),"413.3 m (1,356 ft)",56 km/h (35 mph),,1:20,,,12 m (39 ft),,,,58
Gold Rusher,Six Flags Magic Mountain,"May 29, 1971",Steel – Mine Train,Arrow Development,70 ft (21 m),"2,590 ft (790 m)",35 mph (56 km/h),0,2:30,1750 riders per hour,"$1,200,000 USD",35 ft (11 m),3°,3.4,,32
Gold Striker,California's Great America,"May 31, 2013",Wood,Great Coasters International,108.2 ft (33.0 m),"3,197 ft (974 m)",53.7 mph (86.4 km/h),0,2:30,850 riders per hour,"$10,000,000[1]",103.3 ft (31.5 m),50°,4.2,,57
Goliath,Walibi Holland,"March 29, 2002",Steel,Intamin,47.17 m (154.8 ft),"1,214 m (3,983 ft)",106 km/h (66 mph),0,1:32,,,46.31 m (151.9 ft),70°,,,53
Goliath,Six Flags Over Georgia,"April 1, 2006",Steel,Bolliger & Mabillard,200 ft (61 m),"4,480 ft (1,370 m)",70 mph (113 km/h),0,3:30,"1,220 riders per hour","$20,000,000",175 ft (53 m),59°,,,35
