Show Name,Season,Href,Google Docs
all american,season one,https://tvseriesfinale.com/tv-show/all-american-season-one-ratings/,https://docs.google.com/spreadsheets/d/1T-eDbU4WnVnGczaTUc9X91683hE7PYpTtpap48tpnu0/pubhtml/sheet?headers=false&gid=2027836567&range=A1%3Ah100
all american,season two,https://tvseriesfinale.com/tv-show/all-american-season-two-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vTaD6uAv0rMyqOLpklP9QmMHlz3gUaKkf5kYVM3nDXbIBys2LKIkvfed1zv-22RJpYtZtcw1rvPd5ws/pubhtml/sheet?headers=false&gid=766012447&range=A1%3Ah100
all american,season three,https://tvseriesfinale.com/tv-show/all-american-season-three-ratings/,https://docs.google.com/spreadsheets/d/1UtKbmbo-TrCU00937XlBHCPgAR5Wx5fyu7YHrmiDjZQ/pubhtml/sheet?headers=false&gid=1565323218&range=A1%3Ah100
all american,season four,https://tvseriesfinale.com/tv-show/all-american-season-four-ratings/,https://docs.google.com/spreadsheets/d/1MiOE1bCf6lKNJCpNpvXIAZYYbPo5_BfTqqGbsG9ENo8/pubhtml/sheet?headers=false&gid=1135996671&range=A1%3Ah100
all american,season five,https://tvseriesfinale.com/tv-show/all-american-season-five-ratings/,https://docs.google.com/spreadsheets/d/1qwTMXm7xEOvj2UJCK2EP9eCl3-calTWTXMXFx6_z1oA/pubhtml/sheet?headers=false&gid=186742679&range=A1%3Ah100
all american,season six,https://tvseriesfinale.com/tv-show/all-american-season-six-ratings/,https://docs.google.com/spreadsheets/d/1VOF9EearmNFEo8w6vHiQipNNQVkvI529Yr3CG1qfSnQ/pubhtml/sheet?headers=false&gid=238402879&range=A1%3Ah100
all american homecoming,season one,https://tvseriesfinale.com/tv-show/all-american-homecoming-season-one-ratings/,https://docs.google.com/spreadsheets/d/1MiOE1bCf6lKNJCpNpvXIAZYYbPo5_BfTqqGbsG9ENo8/pubhtml/sheet?headers=false&gid=1979822337&range=A1%3Ah100
all american homecoming,season two,https://tvseriesfinale.com/tv-show/all-american-homecoming-season-two-ratings/,https://docs.google.com/spreadsheets/d/1qwTMXm7xEOvj2UJCK2EP9eCl3-calTWTXMXFx6_z1oA/pubhtml/sheet?headers=false&gid=23472622&range=A1%3Ah100
all rise,season one,https://tvseriesfinale.com/tv-show/all-rise-season-one-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vT0r9Z1zIFp1HCpQK8PJDq8yeZzWrPf8e5BhFbpOvRROSxNyF6FMc5WC4jKRtnUWwnK66Gam6BNkEHI/pubhtml/sheet?headers=false&gid=1916851284&range=A1%3Ah100
all rise,season two,https://tvseriesfinale.com/tv-show/all-rise-season-two-ratings/,https://docs.google.com/spreadsheets/d/1dBByBwNRkBxn64JkURCCBbkdekn50VAxa3AfH7pZK04/pubhtml/sheet?headers=false&gid=882088937&range=A1%3Ah100
all rise,season three,https://tvseriesfinale.com/tv-show/all-rise-season-three-ratings/,https://docs.google.com/spreadsheets/d/1Ew4e9wBK4P_eX68Vqc7EDEwaUJZDWr7OTJyGvD8Y5Jc/pubhtml/sheet?headers=false&gid=356558974&range=A1%3AH52&output=html&rm=minimal
alienist,season one,https://tvseriesfinale.com/tv-show/alienist-season-one-ratings/,https://docs.google.com/spreadsheets/d/1QtBG-fGZvsxYy32ltEqEbyD_Vp9XHOYSt9-6wyprIS4/pubhtml/sheet?headers=false&gid=1543614977&range=A1%3AG46
almost family,season one,https://tvseriesfinale.com/tv-show/almost-family-season-one-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmoC8hQFbZMNtUzmwwjsO_0gIf7KnWMgEOC-2a4Bh_rCX1LCdAm6b-BWNfoIlttnPf2iy_4KQj0eFo/pubhtml/sheet?headers=false&gid=1460484551&range=A1%3Ah100
alone together,season one,https://tvseriesfinale.com/tv-show/alone-together-season-one-ratings/,https://docs.google.com/spreadsheets/d/1cnttQo1fIxTypKG3x19Ax0Zh4Pn8dtfzDfO4lVWsi6Y/pubhtml/sheet?headers=false&gid=915492362&range=A1:G120
alone together,season two,https://tvseriesfinale.com/tv-show/alone-together-season-two-ratings/,https://docs.google.com/spreadsheets/d/1cnttQo1fIxTypKG3x19Ax0Zh4Pn8dtfzDfO4lVWsi6Y/pubhtml/sheet?headers=false&gid=8505624&range=A1:G120
alter ego,season one,https://tvseriesfinale.com/tv-show/alter-ego-season-one-ratings/,https://docs.google.com/spreadsheets/d/1PlugKIBMoFJpsdg8AZIYiS56GA8u5BxmNnpQ5v0wx1Q/pubhtml/sheet?headers=false&gid=1440466816&range=A1%3Ah100
the amazing race,season 32,https://tvseriesfinale.com/tv-show/the-amazing-race-season-32-ratings/,https://docs.google.com/spreadsheets/d/1dBByBwNRkBxn64JkURCCBbkdekn50VAxa3AfH7pZK04/pubhtml/sheet?headers=false&gid=2013771303&range=A1%3Ah100
the amazing race,season 33,https://tvseriesfinale.com/tv-show/the-amazing-race-season-33-ratings/,https://docs.google.com/spreadsheets/d/1gPmjJd_L8Sp9Vp5qI5sfS69ztHiav5B4fFPrTOSmVMs/pubhtml/sheet?headers=false&gid=1317941518&range=A1%3Ah100
