IMDB Series ID,IMDB Episode ID,Type,Text
tt0096697,tt0779678,S,"Bill Clinton and Bob Dole are stripped naked but their genitals are covered. (Butts shown)

     





Edit"
tt0096697,tt0779678,V,"Homer tries to light a pumpkin up but he ends up burning himself.

     





Edit"
tt0096697,tt0779678,V,"Dr. Hibbert separates two Siamese twins with a chopper.

     





Edit"
tt0096697,tt0779678,V,"Dr. Hibbert punches a boy.

     





Edit"
tt0096697,tt0779678,V,"Bart shocks Lisa by rubbing a balloon on his head and then touching her.

     





Edit"
tt0096697,tt0779678,V,"Aliens whip human beings like slaves.

     





Edit"
tt0096697,tt0779678,V,"The presidents are accidentally ejected into space by Homer.

     





Edit"
tt0096697,tt0779678,V,"People are drowned and probed.

     





Edit"
tt0096697,tt0779678,P,"""What the hell"" is said once.

     





Edit"
tt0096697,tt0779678,D,"Homer gets sprayed with rum to make everyone think he is drunk so they won't believe him.

     





Edit"
tt0096697,tt0779678,I,"Bart is trapped and threatened by his deranged twin. He is made to eat fish heads. Lisa is incased in her own little world. Bart gets attacked by minituare spaceships. The president gets killed. Space aliens threaten the country.

     





Edit"
tt8694364,tt8750242,S,"A reference towards the latter half of the programme to the teaching of pornography in education and contains various sexual references throughout the scene.

     





Edit"
tt8694364,tt8750242,S,"A short scene of a couple having sexual relations in bed halfway through the programme is shown.

     





Edit"
tt8694364,tt8750242,S,"Two men have sex with each other in a montage in the last 10 minutes of the programme.

     





Edit"
tt8694364,tt8750242,P,"A character says the f-word in relation to the Israel/Palestine conflict in the opening scene.

     





Edit"
