county_fips,state_po,x,n,y,population_group
31069,NE,2011,1493,0,tiny
31071,NE,2011,1361,27,tiny
31073,NE,2011,1640,2,tiny
31075,NE,2011,591,-3,tiny
31077,NE,2011,1973,-6,tiny
31079,NE,2011,48967,15,small
31081,NE,2011,8015,11,tiny
31083,NE,2011,2649,12,tiny
31085,NE,2011,794,0,tiny
31087,NE,2011,2296,-2,tiny
31089,NE,2011,8975,-25,tiny
31091,NE,2011,672,-2,tiny
31093,NE,2011,5301,19,tiny
31095,NE,2011,6056,-1,tiny
31097,NE,2011,3557,19,tiny
31099,NE,2011,5152,-7,tiny
31101,NE,2011,6581,17,tiny
31103,NE,2011,651,-4,tiny
31105,NE,2011,2839,-2,tiny
31107,NE,2011,7092,11,tiny
31109,NE,2011,226173,-343,large
31111,NE,2011,29543,-56,small
31113,NE,2011,655,-6,tiny
31115,NE,2011,478,0,tiny
31117,NE,2011,378,0,tiny
31119,NE,2011,28841,-106,small
31121,NE,2011,6330,10,tiny
31123,NE,2011,3632,16,tiny
31125,NE,2011,2830,4,tiny
31127,NE,2011,5198,-16,tiny
31129,NE,2011,3643,2,tiny
31131,NE,2011,13015,-50,small
31133,NE,2011,2127,12,tiny
31135,NE,2011,2505,-9,tiny
31137,NE,2011,7759,4,tiny
31139,NE,2011,6081,14,tiny
31141,NE,2011,29130,13,small
31143,NE,2011,4581,-16,tiny
31145,NE,2011,8907,-22,tiny
31147,NE,2011,6705,17,tiny
31149,NE,2011,836,44,tiny
31151,NE,2011,11712,-15,small
31153,NE,2011,138337,519,large
31155,NE,2011,17498,77,small
31157,NE,2011,28867,-104,small
31159,NE,2011,13685,-18,small
31161,NE,2011,4127,2,tiny
31163,NE,2011,2420,-8,tiny
31165,NE,2011,932,8,tiny
31167,NE,2011,4836,32,tiny
31169,NE,2011,4331,6,tiny
31171,NE,2011,556,-10,tiny
31173,NE,2011,5184,1,tiny
31175,NE,2011,3504,4,tiny
31177,NE,2011,17073,22,small
31179,NE,2011,6592,-17,tiny
31181,NE,2011,2926,-19,tiny
31183,NE,2011,645,5,tiny
31185,NE,2011,11400,14,small
